Chord,Octave,Notes,Midi numbers,Formula
F#9,3,"F#, A#, C#, E, G#","42, 46, 49, 52, 56","0, 4, 7, 10, 14"
F#11,3,"F#, A#, C#, E, G#, B","42, 46, 49, 52, 56, 59","0, 4, 7, 10, 14, 17"
F#13,3,"F#, A#, C#, E, G#, B, D#","42, 46, 49, 52, 56, 59, 63","0, 4, 7, 10, 14, 17, 21"
F#min9,3,"F#, A, C#, E, G#","42, 45, 49, 52, 56","0, 3, 7, 10, 14"
F#min11,3,"F#, A, C#, E, G#, B","42, 45, 49, 52, 56, 59","0, 3, 7, 10, 14, 17"
F#min13,3,"F#, A, C#, E, G#, B, D#","42, 45, 49, 52, 56, 59, 63","0, 3, 7, 10, 14, 17, 21"
F#maj6,3,"F#, A#, C#, D#","42, 46, 49, 51","0, 4, 7, 9"
F#b6,3,"F#, A#, C#, D","42, 46, 49, 50","0, 4, 7, 8"
F#b3,3,"F#, G#, A#, C#","42, 44, 46, 49","0, 2, 4, 7"
F##9,3,"F#, A#, C#, A","42, 46, 49, 57","0, 4, 7, 15"
F#dim7,3,"F#, A, C, D#","42, 45, 48, 51","0, 3, 6, 9"
F#min6,3,"F#, A, C#, D#","42, 45, 49, 51","0, 3, 7, 9"
F#maj9,3,"F#, A#, C#, F, G#","42, 46, 49, 53, 56","0, 4, 7, 11, 14"
F#7sus4,3,"F#, B, C#, E","42, 47, 49, 52","0, 5, 7, 10"
F#7sus2,3,"F#, G#, C#, E","42, 44, 49, 52","0, 2, 7, 10"
F#7b5,3,"F#, A#, C, E","42, 46, 48, 52","0, 4, 6, 10"
F#7#5,3,"F#, A#, D, E","42, 46, 50, 52","0, 4, 8, 10"
F#7b9,3,"F#, A#, C#, E, G","42, 46, 49, 52, 55","0, 4, 7, 10, 13"
F##4,3,"F#, C, C#","42, 48, 49","0, 6, 7"
F#7#9,3,"F#, A#, C#, E, A","42, 46, 49, 52, 57","0, 4, 7, 10, 15"
F#hdim,3,"F#, A, C, E","42, 45, 48, 52","0, 3, 6, 10"
Gmaj,3,"G, B, D","43, 47, 50","0, 4, 7"
Gmin,3,"G, A#, D","43, 46, 50","0, 3, 7"
G7,3,"G, B, D, F","43, 47, 50, 53","0, 4, 7, 10"
Gmaj7,3,"G, B, D, F#","43, 47, 50, 54","0, 4, 7, 11"
Gmin7,3,"G, A#, D, F","43, 46, 50, 53","0, 3, 7, 10"
Gminmaj7,3,"G, A#, D, F#","43, 46, 50, 54","0, 3, 7, 11"
Gdim,3,"G, A#, C#","43, 46, 49","0, 3, 6"
Gaug,3,"G, B, D#","43, 47, 51","0, 4, 8"
Gaug(b7),3,"G, B, D#, F#","43, 47, 51, 54","0, 4, 8, 11"
Gsus2,3,"G, A, D","43, 45, 50","0, 2, 7"
Gsus4,3,"G, C, D","43, 48, 50","0, 5, 7"
G9,3,"G, B, D, F, A","43, 47, 50, 53, 57","0, 4, 7, 10, 14"
G11,3,"G, B, D, F, A, C","43, 47, 50, 53, 57, 60","0, 4, 7, 10, 14, 17"
G13,3,"G, B, D, F, A, C, E","43, 47, 50, 53, 57, 60, 64","0, 4, 7, 10, 14, 17, 21"
Gmin9,3,"G, A#, D, F, A","43, 46, 50, 53, 57","0, 3, 7, 10, 14"
Gmin11,3,"G, A#, D, F, A, C","43, 46, 50, 53, 57, 60","0, 3, 7, 10, 14, 17"
Gmin13,3,"G, A#, D, F, A, C, E","43, 46, 50, 53, 57, 60, 64","0, 3, 7, 10, 14, 17, 21"
Gmaj6,3,"G, B, D, E","43, 47, 50, 52","0, 4, 7, 9"
Gb6,3,"G, B, D, D#","43, 47, 50, 51","0, 4, 7, 8"
Gb3,3,"G, A, B, D","43, 45, 47, 50","0, 2, 4, 7"
G#9,3,"G, B, D, A#","43, 47, 50, 58","0, 4, 7, 15"
Gdim7,3,"G, A#, C#, E","43, 46, 49, 52","0, 3, 6, 9"
Gmin6,3,"G, A#, D, E","43, 46, 50, 52","0, 3, 7, 9"
Gmaj9,3,"G, B, D, F#, A","43, 47, 50, 54, 57","0, 4, 7, 11, 14"
G7sus4,3,"G, C, D, F","43, 48, 50, 53","0, 5, 7, 10"
G7sus2,3,"G, A, D, F","43, 45, 50, 53","0, 2, 7, 10"
G7b5,3,"G, B, C#, F","43, 47, 49, 53","0, 4, 6, 10"
G7#5,3,"G, B, D#, F","43, 47, 51, 53","0, 4, 8, 10"
G7b9,3,"G, B, D, F, G#","43, 47, 50, 53, 56","0, 4, 7, 10, 13"
G#4,3,"G, C#, D","43, 49, 50","0, 6, 7"
G7#9,3,"G, B, D, F, A#","43, 47, 50, 53, 58","0, 4, 7, 10, 15"
Ghdim,3,"G, A#, C#, F","43, 46, 49, 53","0, 3, 6, 10"
G#maj,3,"G#, C, D#","44, 48, 51","0, 4, 7"
G#min,3,"G#, B, D#","44, 47, 51","0, 3, 7"
G#7,3,"G#, C, D#, F#","44, 48, 51, 54","0, 4, 7, 10"
G#maj7,3,"G#, C, D#, G","44, 48, 51, 55","0, 4, 7, 11"
G#min7,3,"G#, B, D#, F#","44, 47, 51, 54","0, 3, 7, 10"
G#minmaj7,3,"G#, B, D#, G","44, 47, 51, 55","0, 3, 7, 11"
G#dim,3,"G#, B, D","44, 47, 50","0, 3, 6"
G#aug,3,"G#, C, E","44, 48, 52","0, 4, 8"
G#aug(b7),3,"G#, C, E, G","44, 48, 52, 55","0, 4, 8, 11"
G#sus2,3,"G#, A#, D#","44, 46, 51","0, 2, 7"
G#sus4,3,"G#, C#, D#","44, 49, 51","0, 5, 7"
G#9,3,"G#, C, D#, F#, A#","44, 48, 51, 54, 58","0, 4, 7, 10, 14"
G#11,3,"G#, C, D#, F#, A#, C#","44, 48, 51, 54, 58, 61","0, 4, 7, 10, 14, 17"
G#13,3,"G#, C, D#, F#, A#, C#, F","44, 48, 51, 54, 58, 61, 65","0, 4, 7, 10, 14, 17, 21"
G#min9,3,"G#, B, D#, F#, A#","44, 47, 51, 54, 58","0, 3, 7, 10, 14"
G#min11,3,"G#, B, D#, F#, A#, C#","44, 47, 51, 54, 58, 61","0, 3, 7, 10, 14, 17"
G#min13,3,"G#, B, D#, F#, A#, C#, F","44, 47, 51, 54, 58, 61, 65","0, 3, 7, 10, 14, 17, 21"
G#maj6,3,"G#, C, D#, F","44, 48, 51, 53","0, 4, 7, 9"
G#b6,3,"G#, C, D#, E","44, 48, 51, 52","0, 4, 7, 8"
G#b3,3,"G#, A#, C, D#","44, 46, 48, 51","0, 2, 4, 7"
G##9,3,"G#, C, D#, B","44, 48, 51, 59","0, 4, 7, 15"
G#dim7,3,"G#, B, D, F","44, 47, 50, 53","0, 3, 6, 9"
G#min6,3,"G#, B, D#, F","44, 47, 51, 53","0, 3, 7, 9"
G#maj9,3,"G#, C, D#, G, A#","44, 48, 51, 55, 58","0, 4, 7, 11, 14"
G#7sus4,3,"G#, C#, D#, F#","44, 49, 51, 54","0, 5, 7, 10"
G#7sus2,3,"G#, A#, D#, F#","44, 46, 51, 54","0, 2, 7, 10"
G#7b5,3,"G#, C, D, F#","44, 48, 50, 54","0, 4, 6, 10"
G#7#5,3,"G#, C, E, F#","44, 48, 52, 54","0, 4, 8, 10"
G#7b9,3,"G#, C, D#, F#, A","44, 48, 51, 54, 57","0, 4, 7, 10, 13"
G##4,3,"G#, D, D#","44, 50, 51","0, 6, 7"
G#7#9,3,"G#, C, D#, F#, B","44, 48, 51, 54, 59","0, 4, 7, 10, 15"
G#hdim,3,"G#, B, D, F#","44, 47, 50, 54","0, 3, 6, 10"
Amaj,3,"A, C#, E","45, 49, 52","0, 4, 7"
Amin,3,"A, C, E","45, 48, 52","0, 3, 7"
A7,3,"A, C#, E, G","45, 49, 52, 55","0, 4, 7, 10"
Amaj7,3,"A, C#, E, G#","45, 49, 52, 56","0, 4, 7, 11"
Amin7,3,"A, C, E, G","45, 48, 52, 55","0, 3, 7, 10"
Aminmaj7,3,"A, C, E, G#","45, 48, 52, 56","0, 3, 7, 11"
Adim,3,"A, C, D#","45, 48, 51","0, 3, 6"
Aaug,3,"A, C#, F","45, 49, 53","0, 4, 8"
Aaug(b7),3,"A, C#, F, G#","45, 49, 53, 56","0, 4, 8, 11"
Asus2,3,"A, B, E","45, 47, 52","0, 2, 7"
Asus4,3,"A, D, E","45, 50, 52","0, 5, 7"
A9,3,"A, C#, E, G, B","45, 49, 52, 55, 59","0, 4, 7, 10, 14"
A11,3,"A, C#, E, G, B, D","45, 49, 52, 55, 59, 62","0, 4, 7, 10, 14, 17"
A13,3,"A, C#, E, G, B, D, F#","45, 49, 52, 55, 59, 62, 66","0, 4, 7, 10, 14, 17, 21"
Amin9,3,"A, C, E, G, B","45, 48, 52, 55, 59","0, 3, 7, 10, 14"
Amin11,3,"A, C, E, G, B, D","45, 48, 52, 55, 59, 62","0, 3, 7, 10, 14, 17"
Amin13,3,"A, C, E, G, B, D, F#","45, 48, 52, 55, 59, 62, 66","0, 3, 7, 10, 14, 17, 21"
Amaj6,3,"A, C#, E, F#","45, 49, 52, 54","0, 4, 7, 9"
Ab6,3,"A, C#, E, F","45, 49, 52, 53","0, 4, 7, 8"
Ab3,3,"A, B, C#, E","45, 47, 49, 52","0, 2, 4, 7"
A#9,3,"A, C#, E, C","45, 49, 52, 60","0, 4, 7, 15"
Adim7,3,"A, C, D#, F#","45, 48, 51, 54","0, 3, 6, 9"
Amin6,3,"A, C, E, F#","45, 48, 52, 54","0, 3, 7, 9"
Amaj9,3,"A, C#, E, G#, B","45, 49, 52, 56, 59","0, 4, 7, 11, 14"
A7sus4,3,"A, D, E, G","45, 50, 52, 55","0, 5, 7, 10"
A7sus2,3,"A, B, E, G","45, 47, 52, 55","0, 2, 7, 10"
A7b5,3,"A, C#, D#, G","45, 49, 51, 55","0, 4, 6, 10"
A7#5,3,"A, C#, F, G","45, 49, 53, 55","0, 4, 8, 10"
A7b9,3,"A, C#, E, G, A#","45, 49, 52, 55, 58","0, 4, 7, 10, 13"
A#4,3,"A, D#, E","45, 51, 52","0, 6, 7"
A7#9,3,"A, C#, E, G, C","45, 49, 52, 55, 60","0, 4, 7, 10, 15"
Ahdim,3,"A, C, D#, G","45, 48, 51, 55","0, 3, 6, 10"
A#maj,3,"A#, D, F","46, 50, 53","0, 4, 7"
A#min,3,"A#, C#, F","46, 49, 53","0, 3, 7"
A#7,3,"A#, D, F, G#","46, 50, 53, 56","0, 4, 7, 10"
A#maj7,3,"A#, D, F, A","46, 50, 53, 57","0, 4, 7, 11"
A#min7,3,"A#, C#, F, G#","46, 49, 53, 56","0, 3, 7, 10"
A#minmaj7,3,"A#, C#, F, A","46, 49, 53, 57","0, 3, 7, 11"
A#dim,3,"A#, C#, E","46, 49, 52","0, 3, 6"
A#aug,3,"A#, D, F#","46, 50, 54","0, 4, 8"
A#aug(b7),3,"A#, D, F#, A","46, 50, 54, 57","0, 4, 8, 11"
A#sus2,3,"A#, C, F","46, 48, 53","0, 2, 7"
A#sus4,3,"A#, D#, F","46, 51, 53","0, 5, 7"
A#9,3,"A#, D, F, G#, C","46, 50, 53, 56, 60","0, 4, 7, 10, 14"
A#11,3,"A#, D, F, G#, C, D#","46, 50, 53, 56, 60, 63","0, 4, 7, 10, 14, 17"
A#13,3,"A#, D, F, G#, C, D#, G","46, 50, 53, 56, 60, 63, 67","0, 4, 7, 10, 14, 17, 21"
A#min9,3,"A#, C#, F, G#, C","46, 49, 53, 56, 60","0, 3, 7, 10, 14"
A#min11,3,"A#, C#, F, G#, C, D#","46, 49, 53, 56, 60, 63","0, 3, 7, 10, 14, 17"
A#min13,3,"A#, C#, F, G#, C, D#, G","46, 49, 53, 56, 60, 63, 67","0, 3, 7, 10, 14, 17, 21"
A#maj6,3,"A#, D, F, G","46, 50, 53, 55","0, 4, 7, 9"
A#b6,3,"A#, D, F, F#","46, 50, 53, 54","0, 4, 7, 8"
A#b3,3,"A#, C, D, F","46, 48, 50, 53","0, 2, 4, 7"
A##9,3,"A#, D, F, C#","46, 50, 53, 61","0, 4, 7, 15"
A#dim7,3,"A#, C#, E, G","46, 49, 52, 55","0, 3, 6, 9"
A#min6,3,"A#, C#, F, G","46, 49, 53, 55","0, 3, 7, 9"
A#maj9,3,"A#, D, F, A, C","46, 50, 53, 57, 60","0, 4, 7, 11, 14"
A#7sus4,3,"A#, D#, F, G#","46, 51, 53, 56","0, 5, 7, 10"
A#7sus2,3,"A#, C, F, G#","46, 48, 53, 56","0, 2, 7, 10"
A#7b5,3,"A#, D, E, G#","46, 50, 52, 56","0, 4, 6, 10"
A#7#5,3,"A#, D, F#, G#","46, 50, 54, 56","0, 4, 8, 10"
A#7b9,3,"A#, D, F, G#, B","46, 50, 53, 56, 59","0, 4, 7, 10, 13"
A##4,3,"A#, E, F","46, 52, 53","0, 6, 7"
A#7#9,3,"A#, D, F, G#, C#","46, 50, 53, 56, 61","0, 4, 7, 10, 15"
A#hdim,3,"A#, C#, E, G#","46, 49, 52, 56","0, 3, 6, 10"
Bmaj,3,"B, D#, F#","47, 51, 54","0, 4, 7"
Bmin,3,"B, D, F#","47, 50, 54","0, 3, 7"
B7,3,"B, D#, F#, A","47, 51, 54, 57","0, 4, 7, 10"
Bmaj7,3,"B, D#, F#, A#","47, 51, 54, 58","0, 4, 7, 11"
Bmin7,3,"B, D, F#, A","47, 50, 54, 57","0, 3, 7, 10"
Bminmaj7,3,"B, D, F#, A#","47, 50, 54, 58","0, 3, 7, 11"
Bdim,3,"B, D, F","47, 50, 53","0, 3, 6"
Baug,3,"B, D#, G","47, 51, 55","0, 4, 8"
Baug(b7),3,"B, D#, G, A#","47, 51, 55, 58","0, 4, 8, 11"
Bsus2,3,"B, C#, F#","47, 49, 54","0, 2, 7"
Bsus4,3,"B, E, F#","47, 52, 54","0, 5, 7"
B9,3,"B, D#, F#, A, C#","47, 51, 54, 57, 61","0, 4, 7, 10, 14"
B11,3,"B, D#, F#, A, C#, E","47, 51, 54, 57, 61, 64","0, 4, 7, 10, 14, 17"
B13,3,"B, D#, F#, A, C#, E, G#","47, 51, 54, 57, 61, 64, 68","0, 4, 7, 10, 14, 17, 21"
Bmin9,3,"B, D, F#, A, C#","47, 50, 54, 57, 61","0, 3, 7, 10, 14"
Bmin11,3,"B, D, F#, A, C#, E","47, 50, 54, 57, 61, 64","0, 3, 7, 10, 14, 17"
Bmin13,3,"B, D, F#, A, C#, E, G#","47, 50, 54, 57, 61, 64, 68","0, 3, 7, 10, 14, 17, 21"
Bmaj6,3,"B, D#, F#, G#","47, 51, 54, 56","0, 4, 7, 9"
Bb6,3,"B, D#, F#, G","47, 51, 54, 55","0, 4, 7, 8"
Bb3,3,"B, C#, D#, F#","47, 49, 51, 54","0, 2, 4, 7"
B#9,3,"B, D#, F#, D","47, 51, 54, 62","0, 4, 7, 15"
Bdim7,3,"B, D, F, G#","47, 50, 53, 56","0, 3, 6, 9"
Bmin6,3,"B, D, F#, G#","47, 50, 54, 56","0, 3, 7, 9"
Bmaj9,3,"B, D#, F#, A#, C#","47, 51, 54, 58, 61","0, 4, 7, 11, 14"
B7sus4,3,"B, E, F#, A","47, 52, 54, 57","0, 5, 7, 10"
B7sus2,3,"B, C#, F#, A","47, 49, 54, 57","0, 2, 7, 10"
B7b5,3,"B, D#, F, A","47, 51, 53, 57","0, 4, 6, 10"
B7#5,3,"B, D#, G, A","47, 51, 55, 57","0, 4, 8, 10"
B7b9,3,"B, D#, F#, A, C","47, 51, 54, 57, 60","0, 4, 7, 10, 13"
B#4,3,"B, F, F#","47, 53, 54","0, 6, 7"
B7#9,3,"B, D#, F#, A, D","47, 51, 54, 57, 62","0, 4, 7, 10, 15"
Bhdim,3,"B, D, F, A","47, 50, 53, 57","0, 3, 6, 10"
Cmaj,4,"C, E, G","48, 52, 55","0, 4, 7"
Cmin,4,"C, D#, G","48, 51, 55","0, 3, 7"
C7,4,"C, E, G, A#","48, 52, 55, 58","0, 4, 7, 10"
Cmaj7,4,"C, E, G, B","48, 52, 55, 59","0, 4, 7, 11"
Cmin7,4,"C, D#, G, A#","48, 51, 55, 58","0, 3, 7, 10"
Cminmaj7,4,"C, D#, G, B","48, 51, 55, 59","0, 3, 7, 11"
Cdim,4,"C, D#, F#","48, 51, 54","0, 3, 6"
Caug,4,"C, E, G#","48, 52, 56","0, 4, 8"
Caug(b7),4,"C, E, G#, B","48, 52, 56, 59","0, 4, 8, 11"
Csus2,4,"C, D, G","48, 50, 55","0, 2, 7"
Csus4,4,"C, F, G","48, 53, 55","0, 5, 7"
C9,4,"C, E, G, A#, D","48, 52, 55, 58, 62","0, 4, 7, 10, 14"
C11,4,"C, E, G, A#, D, F","48, 52, 55, 58, 62, 65","0, 4, 7, 10, 14, 17"
C13,4,"C, E, G, A#, D, F, A","48, 52, 55, 58, 62, 65, 69","0, 4, 7, 10, 14, 17, 21"
Cmin9,4,"C, D#, G, A#, D","48, 51, 55, 58, 62","0, 3, 7, 10, 14"
Cmin11,4,"C, D#, G, A#, D, F","48, 51, 55, 58, 62, 65","0, 3, 7, 10, 14, 17"
Cmin13,4,"C, D#, G, A#, D, F, A","48, 51, 55, 58, 62, 65, 69","0, 3, 7, 10, 14, 17, 21"
Cmaj6,4,"C, E, G, A","48, 52, 55, 57","0, 4, 7, 9"
Cb6,4,"C, E, G, G#","48, 52, 55, 56","0, 4, 7, 8"
Cb3,4,"C, D, E, G","48, 50, 52, 55","0, 2, 4, 7"
C#9,4,"C, E, G, D#","48, 52, 55, 63","0, 4, 7, 15"
Cdim7,4,"C, D#, F#, A","48, 51, 54, 57","0, 3, 6, 9"
Cmin6,4,"C, D#, G, A","48, 51, 55, 57","0, 3, 7, 9"
Cmaj9,4,"C, E, G, B, D","48, 52, 55, 59, 62","0, 4, 7, 11, 14"
C7sus4,4,"C, F, G, A#","48, 53, 55, 58","0, 5, 7, 10"
C7sus2,4,"C, D, G, A#","48, 50, 55, 58","0, 2, 7, 10"
C7b5,4,"C, E, F#, A#","48, 52, 54, 58","0, 4, 6, 10"
C7#5,4,"C, E, G#, A#","48, 52, 56, 58","0, 4, 8, 10"
C7b9,4,"C, E, G, A#, C#","48, 52, 55, 58, 61","0, 4, 7, 10, 13"
C#4,4,"C, F#, G","48, 54, 55","0, 6, 7"
C7#9,4,"C, E, G, A#, D#","48, 52, 55, 58, 63","0, 4, 7, 10, 15"
Chdim,4,"C, D#, F#, A#","48, 51, 54, 58","0, 3, 6, 10"
C#maj,4,"C#, F, G#","49, 53, 56","0, 4, 7"
C#min,4,"C#, E, G#","49, 52, 56","0, 3, 7"
C#7,4,"C#, F, G#, B","49, 53, 56, 59","0, 4, 7, 10"
C#maj7,4,"C#, F, G#, C","49, 53, 56, 60","0, 4, 7, 11"
C#min7,4,"C#, E, G#, B","49, 52, 56, 59","0, 3, 7, 10"
C#minmaj7,4,"C#, E, G#, C","49, 52, 56, 60","0, 3, 7, 11"
C#dim,4,"C#, E, G","49, 52, 55","0, 3, 6"
C#aug,4,"C#, F, A","49, 53, 57","0, 4, 8"
C#aug(b7),4,"C#, F, A, C","49, 53, 57, 60","0, 4, 8, 11"
C#sus2,4,"C#, D#, G#","49, 51, 56","0, 2, 7"
C#sus4,4,"C#, F#, G#","49, 54, 56","0, 5, 7"
C#9,4,"C#, F, G#, B, D#","49, 53, 56, 59, 63","0, 4, 7, 10, 14"
C#11,4,"C#, F, G#, B, D#, F#","49, 53, 56, 59, 63, 66","0, 4, 7, 10, 14, 17"
C#13,4,"C#, F, G#, B, D#, F#, A#","49, 53, 56, 59, 63, 66, 70","0, 4, 7, 10, 14, 17, 21"
C#min9,4,"C#, E, G#, B, D#","49, 52, 56, 59, 63","0, 3, 7, 10, 14"
C#min11,4,"C#, E, G#, B, D#, F#","49, 52, 56, 59, 63, 66","0, 3, 7, 10, 14, 17"
C#min13,4,"C#, E, G#, B, D#, F#, A#","49, 52, 56, 59, 63, 66, 70","0, 3, 7, 10, 14, 17, 21"
C#maj6,4,"C#, F, G#, A#","49, 53, 56, 58","0, 4, 7, 9"
C#b6,4,"C#, F, G#, A","49, 53, 56, 57","0, 4, 7, 8"
C#b3,4,"C#, D#, F, G#","49, 51, 53, 56","0, 2, 4, 7"
C##9,4,"C#, F, G#, E","49, 53, 56, 64","0, 4, 7, 15"
C#dim7,4,"C#, E, G, A#","49, 52, 55, 58","0, 3, 6, 9"
C#min6,4,"C#, E, G#, A#","49, 52, 56, 58","0, 3, 7, 9"
C#maj9,4,"C#, F, G#, C, D#","49, 53, 56, 60, 63","0, 4, 7, 11, 14"
C#7sus4,4,"C#, F#, G#, B","49, 54, 56, 59","0, 5, 7, 10"
C#7sus2,4,"C#, D#, G#, B","49, 51, 56, 59","0, 2, 7, 10"
C#7b5,4,"C#, F, G, B","49, 53, 55, 59","0, 4, 6, 10"
C#7#5,4,"C#, F, A, B","49, 53, 57, 59","0, 4, 8, 10"
C#7b9,4,"C#, F, G#, B, D","49, 53, 56, 59, 62","0, 4, 7, 10, 13"
C##4,4,"C#, G, G#","49, 55, 56","0, 6, 7"
C#7#9,4,"C#, F, G#, B, E","49, 53, 56, 59, 64","0, 4, 7, 10, 15"
C#hdim,4,"C#, E, G, B","49, 52, 55, 59","0, 3, 6, 10"
Dmaj,4,"D, F#, A","50, 54, 57","0, 4, 7"
Dmin,4,"D, F, A","50, 53, 57","0, 3, 7"
D7,4,"D, F#, A, C","50, 54, 57, 60","0, 4, 7, 10"
Dmaj7,4,"D, F#, A, C#","50, 54, 57, 61","0, 4, 7, 11"
Dmin7,4,"D, F, A, C","50, 53, 57, 60","0, 3, 7, 10"
Dminmaj7,4,"D, F, A, C#","50, 53, 57, 61","0, 3, 7, 11"
Ddim,4,"D, F, G#","50, 53, 56","0, 3, 6"
Daug,4,"D, F#, A#","50, 54, 58","0, 4, 8"
Daug(b7),4,"D, F#, A#, C#","50, 54, 58, 61","0, 4, 8, 11"
Dsus2,4,"D, E, A","50, 52, 57","0, 2, 7"
Dsus4,4,"D, G, A","50, 55, 57","0, 5, 7"
D9,4,"D, F#, A, C, E","50, 54, 57, 60, 64","0, 4, 7, 10, 14"
D11,4,"D, F#, A, C, E, G","50, 54, 57, 60, 64, 67","0, 4, 7, 10, 14, 17"
D13,4,"D, F#, A, C, E, G, B","50, 54, 57, 60, 64, 67, 71","0, 4, 7, 10, 14, 17, 21"
Dmin9,4,"D, F, A, C, E","50, 53, 57, 60, 64","0, 3, 7, 10, 14"
Dmin11,4,"D, F, A, C, E, G","50, 53, 57, 60, 64, 67","0, 3, 7, 10, 14, 17"
Dmin13,4,"D, F, A, C, E, G, B","50, 53, 57, 60, 64, 67, 71","0, 3, 7, 10, 14, 17, 21"
Dmaj6,4,"D, F#, A, B","50, 54, 57, 59","0, 4, 7, 9"
Db6,4,"D, F#, A, A#","50, 54, 57, 58","0, 4, 7, 8"
Db3,4,"D, E, F#, A","50, 52, 54, 57","0, 2, 4, 7"
D#9,4,"D, F#, A, F","50, 54, 57, 65","0, 4, 7, 15"
Ddim7,4,"D, F, G#, B","50, 53, 56, 59","0, 3, 6, 9"
Dmin6,4,"D, F, A, B","50, 53, 57, 59","0, 3, 7, 9"
Dmaj9,4,"D, F#, A, C#, E","50, 54, 57, 61, 64","0, 4, 7, 11, 14"
D7sus4,4,"D, G, A, C","50, 55, 57, 60","0, 5, 7, 10"
D7sus2,4,"D, E, A, C","50, 52, 57, 60","0, 2, 7, 10"
D7b5,4,"D, F#, G#, C","50, 54, 56, 60","0, 4, 6, 10"
D7#5,4,"D, F#, A#, C","50, 54, 58, 60","0, 4, 8, 10"
D7b9,4,"D, F#, A, C, D#","50, 54, 57, 60, 63","0, 4, 7, 10, 13"
D#4,4,"D, G#, A","50, 56, 57","0, 6, 7"
D7#9,4,"D, F#, A, C, F","50, 54, 57, 60, 65","0, 4, 7, 10, 15"
Dhdim,4,"D, F, G#, C","50, 53, 56, 60","0, 3, 6, 10"
D#maj,4,"D#, G, A#","51, 55, 58","0, 4, 7"
D#min,4,"D#, F#, A#","51, 54, 58","0, 3, 7"
D#7,4,"D#, G, A#, C#","51, 55, 58, 61","0, 4, 7, 10"
D#maj7,4,"D#, G, A#, D","51, 55, 58, 62","0, 4, 7, 11"
D#min7,4,"D#, F#, A#, C#","51, 54, 58, 61","0, 3, 7, 10"
D#minmaj7,4,"D#, F#, A#, D","51, 54, 58, 62","0, 3, 7, 11"
D#dim,4,"D#, F#, A","51, 54, 57","0, 3, 6"
D#aug,4,"D#, G, B","51, 55, 59","0, 4, 8"
D#aug(b7),4,"D#, G, B, D","51, 55, 59, 62","0, 4, 8, 11"
D#sus2,4,"D#, F, A#","51, 53, 58","0, 2, 7"
D#sus4,4,"D#, G#, A#","51, 56, 58","0, 5, 7"
D#9,4,"D#, G, A#, C#, F","51, 55, 58, 61, 65","0, 4, 7, 10, 14"
D#11,4,"D#, G, A#, C#, F, G#","51, 55, 58, 61, 65, 68","0, 4, 7, 10, 14, 17"
D#13,4,"D#, G, A#, C#, F, G#, C","51, 55, 58, 61, 65, 68, 72","0, 4, 7, 10, 14, 17, 21"
D#min9,4,"D#, F#, A#, C#, F","51, 54, 58, 61, 65","0, 3, 7, 10, 14"
D#min11,4,"D#, F#, A#, C#, F, G#","51, 54, 58, 61, 65, 68","0, 3, 7, 10, 14, 17"
D#min13,4,"D#, F#, A#, C#, F, G#, C","51, 54, 58, 61, 65, 68, 72","0, 3, 7, 10, 14, 17, 21"
D#maj6,4,"D#, G, A#, C","51, 55, 58, 60","0, 4, 7, 9"
D#b6,4,"D#, G, A#, B","51, 55, 58, 59","0, 4, 7, 8"
D#b3,4,"D#, F, G, A#","51, 53, 55, 58","0, 2, 4, 7"
D##9,4,"D#, G, A#, F#","51, 55, 58, 66","0, 4, 7, 15"
D#dim7,4,"D#, F#, A, C","51, 54, 57, 60","0, 3, 6, 9"
D#min6,4,"D#, F#, A#, C","51, 54, 58, 60","0, 3, 7, 9"
D#maj9,4,"D#, G, A#, D, F","51, 55, 58, 62, 65","0, 4, 7, 11, 14"
D#7sus4,4,"D#, G#, A#, C#","51, 56, 58, 61","0, 5, 7, 10"
D#7sus2,4,"D#, F, A#, C#","51, 53, 58, 61","0, 2, 7, 10"
D#7b5,4,"D#, G, A, C#","51, 55, 57, 61","0, 4, 6, 10"
D#7#5,4,"D#, G, B, C#","51, 55, 59, 61","0, 4, 8, 10"
D#7b9,4,"D#, G, A#, C#, E","51, 55, 58, 61, 64","0, 4, 7, 10, 13"
D##4,4,"D#, A, A#","51, 57, 58","0, 6, 7"
D#7#9,4,"D#, G, A#, C#, F#","51, 55, 58, 61, 66","0, 4, 7, 10, 15"
D#hdim,4,"D#, F#, A, C#","51, 54, 57, 61","0, 3, 6, 10"
Emaj,4,"E, G#, B","52, 56, 59","0, 4, 7"
Emin,4,"E, G, B","52, 55, 59","0, 3, 7"
E7,4,"E, G#, B, D","52, 56, 59, 62","0, 4, 7, 10"
Emaj7,4,"E, G#, B, D#","52, 56, 59, 63","0, 4, 7, 11"
Emin7,4,"E, G, B, D","52, 55, 59, 62","0, 3, 7, 10"
Eminmaj7,4,"E, G, B, D#","52, 55, 59, 63","0, 3, 7, 11"
Edim,4,"E, G, A#","52, 55, 58","0, 3, 6"
Eaug,4,"E, G#, C","52, 56, 60","0, 4, 8"
Eaug(b7),4,"E, G#, C, D#","52, 56, 60, 63","0, 4, 8, 11"
Esus2,4,"E, F#, B","52, 54, 59","0, 2, 7"
Esus4,4,"E, A, B","52, 57, 59","0, 5, 7"
E9,4,"E, G#, B, D, F#","52, 56, 59, 62, 66","0, 4, 7, 10, 14"
E11,4,"E, G#, B, D, F#, A","52, 56, 59, 62, 66, 69","0, 4, 7, 10, 14, 17"
